,Interaction Type,x_vector,y_vector,z_vector,Molecule ID
845,aromatic,6,19,10,37
846,aromatic,7,18,12,37
847,aromatic,7,15,11,37
848,aromatic,7,19,14,37
849,aromatic,7,22,13,37
850,aromatic,6,22,10,37
851,aromatic,7,26,20,37
852,aromatic,9,28,19,37
853,aromatic,11,28,21,37
854,aromatic,10,26,23,37
855,aromatic,8,25,22,37
856,basic,6,22,10,37
857,donor,9,9,21,38
858,acceptor,8,13,11,38
859,acceptor,6,7,20,38
860,acceptor,19,15,30,38
861,aromatic,11,9,25,38
862,aromatic,16,12,25,38
863,aromatic,14,10,23,38
864,aromatic,11,10,27,38
865,aromatic,13,11,29,38
866,aromatic,15,12,27,38
867,aromatic,7,15,10,38
868,aromatic,8,18,11,38
869,aromatic,7,20,10,38
870,aromatic,6,20,7,38
871,aromatic,5,18,6,38
872,aromatic,6,15,7,38
873,halogen,9,9,29,38
874,basic,6,20,7,38
875,aliphatic_ring,6,9,17,38
876,aliphatic_ring,5,8,15,38
877,aliphatic_ring,6,9,12,38
878,aliphatic_ring,6,12,13,38
879,aliphatic_ring,8,11,16,38
880,donor,6,20,7,39
881,acceptor,6,8,15,39
882,acceptor,6,7,16,39
883,acceptor,7,7,18,39
884,aromatic,8,8,19,39
885,aromatic,8,10,17,39
886,aromatic,6,8,15,39
887,aromatic,6,7,16,39
888,aromatic,7,7,18,39
889,aromatic,10,8,26,39
890,aromatic,9,7,28,39
891,aromatic,10,7,31,39
892,aromatic,11,10,31,39
893,aromatic,12,11,29,39
894,aromatic,12,10,27,39
895,aromatic,6,16,9,39
896,aromatic,7,18,11,39
897,aromatic,7,20,9,39
898,aromatic,6,20,7,39
899,aromatic,5,17,7,39
900,basic,6,16,9,39
901,donor,5,19,13,40
902,donor,7,25,12,40
903,acceptor,3,13,6,40
904,acceptor,4,12,11,40
905,acceptor,7,19,17,40
906,aromatic,5,16,9,40
907,aromatic,5,18,7,40
908,aromatic,4,17,5,40
909,aromatic,3,15,4,40
910,aromatic,3,13,6,40
911,aromatic,4,14,9,40
912,aromatic,6,9,14,40
913,aromatic,8,10,16,40
